Fine-Tuning,M1,M2,M3,MHu2,MHd2,signmu,Mq2ii,Ml2ii,Mu2ii,Md2ii,Me2ii,Mq233,Ml233,Mu233,Md233,Me233,Tu33,Td33,Te33,tanb
543.217577,-860.595703,-1828.85742,1199.34082,6211669.92,4168212.89,-1,6353393.55,6296264.65,3633178.71,1394165.04,3598022.46,6852172.85,2374145.51,1576538.09,7326782.23,1176635.74,-1146.24023,-860.595703,255.615234,12.2802734
904.92267,1061.2793,1311.76758,1597.77832,3821044.92,6840087.89,-1,3892456.05,6507202.15,1031616.21,2589477.54,4793334.96,5656860.35,4694458.01,2349975.59,4303344.73,6590698.24,2744.38477,1061.2793,-2041.25977,32.5927734
860.886934,-591.064453,2682.86133,1556.7627,2942138.67,7226806.64,-1,5843627.93,7227905.27,7096069.34,3028930.66,4670288.09,3108032.23,2110473.63,8098022.46,4074829.1,2635620.12,-618.896484,-591.064453,150.146484,27.5146484
451.177064,-731.689453,-1395.26367,314.575195,3926513.67,3148681.64,-1,3804565.43,829467.773,8010131.84,2536743.16,943725.586,1490844.73,7102661.13,5355834.96,2598266.6,4534057.62,2615.47852,-731.689453,478.271484,19.7021484
565.315657,-596.923828,262.939453,1260.86426,4401123.05,4818603.52,-1,3215698.24,8185913.09,1919311.52,2299438.48,3782592.77,5138305.66,4685668.95,2692749.02,8952758.79,8533081.05,-695.068359,-596.923828,718.505859,27.1630859
565.247936,481.201172,-2408.93555,862.426758,2010498.05,4115478.52,-1,1317260.74,7834350.59,7333374.02,3494750.98,2587280.27,7458618.16,5037231.45,7263061.52,8460571.29,8322143.55,664.306641,481.201172,952.880859,17.4755859
697.539048,199.951172,1247.31445,1659.30176,6229248.05,4959228.52,-1,7645385.74,2631225.59,2973999.02,1385375.98,4977905.27,4786743.16,4896606.45,4872436.52,1569946.29,1712768.55,1883.05664,199.951172,484.130859,24.3505859
895.89489,82.7636719,-1447.99805,147.583008,-4950439.45,3342041.02,-1,5500854.49,5689819.34,6173217.77,6975219.73,442749.023,1235961.91,8939575.2,2095092.77,1675415.04,2029174.8,828.369141,82.7636719,-1179.93164,40.4443359
840.830273,446.044922,-733.154297,1700.31738,6123779.3,3447509.77,-1,3444213.87,2754272.46,3940795.9,1438110.35,5100952.15,2273071.29,3472778.32,3307983.4,7493774.41,6230346.68,394.775391,446.044922,988.037109,31.7724609
463.300577,1656.00586,1601.80664,1148.07129,1913818.36,8571533.2,-1,7298217.77,2125854.49,3830932.62,3543090.82,3444213.87,141723.633,6289672.85,6608276.37,1706176.76,8598999.02,239.501953,1656.00586,-1968.01758,44.7216797
908.425948,1163.81836,-15.3808594,1558.22754,2124755.86,5407470.7,-1,3044311.52,1246948.24,4077026.37,3437622.07,4674682.62,669067.383,8012329.1,8401245.12,7296020.51,2306030.27,497.314453,1163.81836,961.669922,33.0029297
603.795319,320.068359,-296.630859,386.352539,4093505.86,5688720.7,-1,7122436.52,825073.242,3092651.37,2453247.07,1159057.62,3903442.38,4777954.1,7135620.12,4061645.51,6665405.27,-1658.93555,320.068359,1242.91992,11.1279297
636.86335,554.443359,-531.005859,1441.04004,6765380.86,7235595.7,-1,8880249.02,3145385.74,8787963.87,1117309.57,4323120.12,2286254.88,4145141.6,8471557.62,5256958.01,6032592.77,2981.68945,554.443359,633.544922,19.5654297
302.888898,-43.2128906,-1902.09961,802.368164,5464599.61,7833251.95,-1,2042358.4,3795776.37,2090698.24,1767700.2,2407104.49,7296020.51,5287719.73,5852416.99,3446411.13,1831420.9,-1459.7168,-43.2128906,457.763672,37.4560547
638.753094,-535.400391,-238.037109,17.2119141,-1636962.89,8606689.45,-1,4608764.65,737182.617,2407104.49,5318481.45,51635.7422,1987426.76,8135375.98,2934448.24,6645629.88,7913452.15,-30.0292969,-535.400391,-221.923828,20.4248047
781.691377,777.099609,-800.537109,298.461914,-1074462.89,5794189.45,-1,6015014.65,7205932.62,6063354.49,5037231.45,895385.742,3956176.76,4479125.98,4903198.24,1864379.88,7069702.15,907.470703,777.099609,-1159.42383,44.1748047
548.398804,384.521484,-525.146484,904.907227,4286865.23,5565673.83,-1,2437866.21,8322143.55,5843627.93,2356567.38,2714721.68,1117309.57,1165649.41,7126831.05,2154418.95,2754272.46,2729.73633,384.521484,30.0292969,30.6982422
545.89824,-927.978516,-1462.64648,998.657227,2599365.23,7253173.83,-1,3844116.21,1853393.55,2749877.93,3200317.38,2995971.68,3086059.57,6509399.41,658081.055,6373168.95,3598022.46,-1957.76367,-927.978516,1342.5293,14.4482422
720.42261,993.896484,1959.22852,1397.09473,489990.234,1768798.83,-1,680053.711,95581.0547,5913940.43,4255004.88,4191284.18,625122.07,6298461.91,5087768.55,6584106.45,4230834.96,1932.86133,993.896484,358.154297,24.7607422
891.048641,1427.49023,-1333.74023,1367.79785,-670166.016,5460205.08,-1,1295288.09,1941284.18,3294799.8,4835083.01,4103393.55,9887.69531,7651977.54,4894409.18,4351684.57,2068725.59,-469.482422,1427.49023,-122.314453,24.0576172
678.955138,1169.67773,-2857.17773,1262.3291,665771.484,7780517.58,-1,6041381.84,218627.93,4947143.55,4167114.26,3786987.3,7638793.95,3187133.79,2398315.43,2347778.32,8783569.34,444.580078,1169.67773,1166.74805,32.3388672
620.404503,560.302734,-2622.80273,1754.5166,8400146.48,4827392.58,-1,64819.3359,4367065.43,236206.055,299926.758,5263549.8,4896606.45,7194946.29,3171752.93,871215.82,697631.836,2835.20508,560.302734,88.6230469,15.1513672
346.188306,1029.05273,-2341.55273,582.641602,5868896.48,6233642.58,-1,5549194.34,2538940.43,1220581.05,1565551.76,1747924.8,8693481.45,5929321.29,4437377.93,5793090.82,8432006.84,-1008.54492,1029.05273,744.873047,38.2763672
350.348772,279.052734,1408.44727,957.641602,3618896.48,3983642.58,-1,8924194.34,8163940.43,4595581.05,2690551.76,2872924.8,7568481.45,7054321.29,1062377.93,6918090.82,7307006.84,1241.45508,279.052734,1494.87305,23.2763672
479.792602,-845.947266,-1966.55273,770.141602,2493896.48,5108642.58,-1,4986694.34,5351440.43,4033081.05,3253051.76,2310424.8,8130981.45,5366821.29,3874877.93,1855590.82,6744506.84,-633.544922,-845.947266,-1880.12695,25.7763672
423.170096,466.552734,-2904.05273,1051.3916,4181396.48,6796142.58,-1,5830444.34,2257690.43,5439331.05,2409301.76,3154174.8,6162231.45,23071.2891,6406127.93,6636840.82,5338256.84,1428.95508,466.552734,-2442.62695,49.5263672
829.54321,678.955078,-1308.83789,1769.89746,6119384.77,7037841.8,-1,2655395.51,6579711.91,5832641.6,1440307.62,5309692.38,7715698.24,7544311.52,7278442.38,5579956.05,3046508.79,999.755859,678.955078,-821.044922,22.4853516
899.575337,772.705078,-1402.58789,598.022461,8088134.77,8444091.8,-1,7577270.51,5032836.91,4567016.6,455932.617,1794067.38,5887573.24,6278686.52,8262817.38,1220581.05,5999633.79,-2843.99414,772.705078,-1477.29492,44.3603516
896.593678,22.7050781,2347.41211,973.022461,1338134.77,1694091.8,-1,6452270.51,1657836.91,1192016.6,3830932.62,2919067.38,4762573.24,7403686.52,4887817.38,2345581.05,4874633.79,2406.00586,22.7050781,-727.294922,19.3603516
912.169343,819.580078,2394.28711,1137.08496,2322509.77,1553466.8,-1,6522583.01,3696899.41,1965454.1,3338745.12,3411254.88,8489135.74,4802124.02,4255004.88,6634643.55,8038696.29,1702.88086,819.580078,1663.33008,21.5478516
934.729718,1382.08008,-793.212891,1230.83496,2885009.77,5490966.8,-1,7928833.01,6790649.41,1684204.1,3057495.12,3692504.88,4832885.74,2270874.02,7348754.88,6915893.55,6632446.29,1515.38086,1382.08008,-399.169922,45.2978516
525.455536,-340.576172,-2351.80664,1189.81934,3834228.52,5174560.55,-1,1442504.88,6386352.54,8838500.98,2582885.74,3569458.01,4006713.87,8757202.15,4131958.01,7214721.68,2712524.41,-1121.33789,-340.576172,1510.98633,10.2197266
633.288351,784.423828,273.193359,1377.31934,2709228.52,4049560.55,-1,3130004.88,6948852.54,401000.977,3145385.74,4131958.01,2319213.87,5944702.15,194458.008,2152221.68,2150024.41,3.66210938,784.423828,-1114.01367,17.7197266
505.831598,737.548828,-2117.43164,1541.38184,5662353.52,5315185.55,-1,6012817.38,831665.039,5393188.48,1668823.24,4624145.51,3795776.37,8686889.65,6311645.51,1097534.18,5032836.91,2300.53711,737.548828,1745.36133,18.6572266
339.548804,1434.81445,-775.634766,1110.71777,8281494.14,7301513.67,-1,3103637.7,4109985.35,3942993.16,359252.93,3332153.32,7583862.3,715209.961,8271606.45,3813354.49,3143188.48,1779.05273,1434.81445,-264.404297,23.8525391
436.88873,169.189453,2364.99023,1181.03027,5609619.14,3504638.67,-1,502075.195,5445922.85,4435180.66,1695190.43,3543090.82,7654174.8,4723022.46,6232543.95,8243041.99,3916625.98,2575.92773,169.189453,-123.779297,30.4150391
668.414464,1833.25195,2669.67773,1403.68652,4273681.64,8356201.17,-1,3560668.95,3090454.1,8548461.91,2363159.18,4211059.57,8040893.55,4828491.21,2892700.2,1950073.24,3670532.23,396.240234,1833.25195,-615.966797,41.5087891
